Title,Image,Price,Discount,Origin
Vivo Y85 4gb RAM 64gb Memory  Charger and packing box,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/Se9a454d94e0b4598be3f68071ec0c541W.jpg_400x400q75.avif,"Rs. 13,999",30% Off,640 sold
"Vivo Y19 - 6.53 Inches Full HD+ Display - Dual Sim Official PTA Approved - 8GB RAM 256GB ROM (128GB Usable + 128GB System Reserved) - Dual Engine Fast Charging - (Phone + Box (Imported Box), Charger, Mix Color, 10/10 Conciditon, Impored Stock)",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/f816d377a9a99dd24a51eec7070bd237.jpg_400x400q75.avif,"Rs. 20,999",16% Off,Sindh
"Realme C12Realme C12 - 3GB RAM 32GB ROM | 6.5"" HD+ Display | 6000mAh Battery | 13MP Triple Camera | PTA Approved | Like New",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/S0605a551bc14427db496cffd6717d4fbc.jpg_400x400q75.avif,"Rs. 17,850",15% Off,Sindh
"Vivo V15 - 6.53 Inches Full HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM - Motorize Popup Front 32MP Camera - Dual Engine Fast Charging (Phone with Box Charger, NO Accessories) - Mix Color",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/b7690656034b5d19b9f97ab94a118fc9.jpg_400x400q75.avif,"Rs. 22,999",21% Off,Sindh
Vivo Y17 Phone | 4GB RAM 128GB Storage | 5000 MAH Battery | Dual Sim | 6 Inch Big Notch Display | FingerPrint Sensor | Fast Charging Option | PTA Approve × Memory Card Support | Box Charger & Phone | Mobile Phone On Installment,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/Sa0ddeed890cf4c03906ee35cd1eb54c3d.jpg_400x400q75.avif,"Rs. 37,667","Coins save Rs. 1,883",(1)
"Google Pixel 7A – 6.1"" QHD+ Display, 128GB, 8GB RAM, Dual Sim (Physical + E-SIM) Official PTA Approved - Imported, Phone Only (100% Original - Mix Color)",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/a3cdce1e2e13d56edb929724df050afb.jpg_400x400q75.avif,"Rs. 72,824",27% Off,Sindh
Realme 5i - 6.5 Inches HD+ Display - Dual Sim Official PTA Approved - 6GB RAM / 128GB ROM (Usable ROM 32GB) - Qualcomm Snapdragon 665 AIE Processor - (Phone with Universal Box and Charger - Mix Color),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/dfadcd972eef4a8f2b1a54e561d2a256.png_400x400q75.avif,"Rs. 17,799",29% Off,Sindh
Nothing Phone 2A RAM 12 GB ROM 256 GB Front Camera 32 MP Back Camera 50 MP+50 MP Battery 5000 mAh One Year Brand Warranty,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/da9ede43cb561b625eff15126b0d7dfb.jpg_400x400q75.avif,"Rs. 120,999",19% Off,Punjab
"[Official Approved] Oneplus Nord N10 5G (BE2029/BE2028) - Single Sim - 6.49 Inches Full HD+ 90Hrz Display - 6GB RAM + 128GB ROM - Fingerprint Sensonr - PTA Approved - 100% Original (Imported Stock, Phone Only, No Box, No Charger, No Accessories Included)",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/ef37e5ad46d324b260282727c6a6e98b.jpg_400x400q75.avif,"Rs. 30,999",23% Off,15 sold
Realme 5i - 6.52 Inches IPS LCD Display - 6GB RAM - 128GB Storage - Official PTA Approved - Fingerprint Sensor - Snapdragon 665 - (Phone And Charger Only.No Box and No Accessories Included - Mix Color),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/50f87b92b18c26540ff12e530d359748.jpg_400x400q75.avif,"Rs. 17,999",40% Off,Sindh
Moto G Stylus 2022 128GB Storage 4GB RAM Mediatek Helio G88 5000 mAh Battery 50MP Camera Mobile Phone,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/Sb739d4772c944413ad99c01949f57face.jpg_400x400q75.avif,"Rs. 44,999",10% Off,Sindh
Vivo Y91 - 6.22 Inches IPS LCD Display - 6GB RAM - 128GB Storage - Official PTA Approved - Helio P22 Processor - (Phone and Box Charger. No Accessories Included - Mix Color),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/fabac620a813939351ae184633be8f56.jpg_400x400q75.avif,"Rs. 13,999",30% Off,Sindh
